activity_code,activity_name,activity_description,activity_originator
E02,Americans with Disabilities,"A JCC staff contacted an employer that submitted a job posting that appeared to be  discriminatory under the Americans with Disabilities Act of 1990.  In contacting the  employer, AJCC provided legal job posting requirements, and informed the employer that  unless the job posting’s specifications can be legally justified, that the employer's job  posting request could not be accommodated.",Employer
E03,CalJOBS Assistance,"A JCC staff provided an employer with information regarding CalJOBS, or assisted an  employer with registering in CalJOBS.",Employer
E04,Apprenticeship,A JCC staff informed the employer of apprenticeship requirements and explained job  order posting access.,Employer
E05,Bonding,"T he designated AJCC staff person responsible for providing and/or arranging for bonding  services, completed the required steps to provide an employer with a fidelity bond for an  at-risk or hard-to-place participant. These steps include, but are not limited to, ensuring  the employer meets all eligibility requirements, completing the EDD Fidelity Bonding  Certification Request, completing the EDD Fidelity Bonding Employer Confirmation  Letter, and submitting bonding requests to the Workforce Services' Division Bonding  Coordinator.",Employer
E06,CalJOBS External Recruitment,"A fter determining that the CalJOBS job-seeker participant pool did not include qualified  individuals for an employer's specific job opening, AJCC staff conducted recruitment  efforts to locate qualified individuals. These efforts include, but are not limited to,  contacting colleges, trade schools, professional organizations, and other employment  and training providers who may have access to individuals with the employer's required  skills and qualifications.",Employer
E07,Disability Insurance,A n AJCC sponsored a Disability Insurance seminar for employers.,Employer
E08,Employer Advisory Council (EAC),"A JCC staff provided an employer information regarding the Employer Advisory Council, or  provided AJCC services to an employer at an Employer Advisory Council event.",Employer
E09,Employer Application Issuance,"A t the request of an employer, AJCC staff issued the employer's work application to job  seekers. Prior to agreeing to issue the employer's work application, the staff member  reviewed the work application to ensure compliance with the Department of Fair  Employment and Housing pre-employment guidelines.",Employer
E10,Employer Recall,"A JCC staff suspended an employer's access to CalJOBS after determining the employer  violated Workforce Services' regulations and/or Federal, State, or local employment- related laws. Reasons for access suspension include, but are not limited to: the employer  includes discriminatory specifications in the job listing; fails to adhere to Federal, State,  or local employment-related laws; misrepresents terms or conditions of employment;  causes Workforce Services to receive substantiated formal or informal complaints from  job seekers; and posts an invalid job opening, such as one due to a trade dispute.",Employer
E11,Employment Training Panel (ETP),"T   A JCC staff assisted an employer with information regarding the Employment Training  Panel’s (ETP) available programs and services, including eligibility requirements,  application assistance and programs specific to an employer's business.   his definition does not include Training for New Employees (E40), or Training for Current  Employees (E41).",Employer
E12,Employment Law,A n AJCC sponsored a labor law seminar for employers.,Employer
E13,Employment Taxes,A n AJCC sponsored a payroll tax seminar for employers.,Employer
E14,Enterprise Zone (EZ) Tax Credits,"A JCC staff identified a potentially eligible job seeker and referred him/her to the nearest  Enterprise Zone-certifying agency or Enterprise Zone employer. Staff may not perform  eligibility determinations, request documentation, or sign the Enterprise Tax Voucher  (DOC EZ1).",Employer
E15,Exclusive Hiring Agreement,A JCC staff established an agreement with an employer that requires all job seekers to  apply through CalJOBS.,Employer
E16,Federal Contractor Job Listing,"A JCC staff assisted an employer with a federal job contractor job listing. Staff ensured  that the federal contractor was properly identified, and that its special employment  needs, particularly those relating to qualified veterans' hiring, were met to the fullest  possible extent.",Employer
E17,Fraud Reporting,"A fter receiving a job listing from a questionable employer, AJCC staff ensured the request  was genuine, and represented an actual job opportunity. Questionable employer  examples include employers who require unusual pre-employment action on the job- seeker's part (e.g., a deposit for some alleged service, such as training, transportation,  dues, fees, or food and lodging; employers who require monetary deposits or payments),  unknown employers who request permission to interview at the AJCC; employers who  ask job seekers to be sent to an address that is not a normal place of business (e.g., hotel  room), unknown employers who offer to provide transportation to the job site, and  employers whose address or job location is vague.",Employer
E18,High Density Unemployment Area Resident,A JCC staff assisted an employer in hiring a high-density unemployment area resident.,Employer
E19,Internship,"A JCC staff entered an internship into CalJOBS for an employer, or publicized the  internship at the AJCC.",Employer
E20,Job Development Contact,"A JCC staff contacted an employer regarding Job Development Contact participation. If  the employer is not registered, then staff would need to complete the employer's  CalJOBS' registration to collect the employer's information.",Employer
E21,Job Fairs,A JCC staff partnered with an appropriate entity within the community to present and/or  participate in a job fair.,Employer
E22,Job Identification Contact,A JCC staff contacted a CalJOBS-registered employer for available job postings.,Employer
E23,Job Listing Assistance,"T   A JCC staff assisted a CalJOBS-registered employer with filling out a job listing form (DE  8203), or AJCC staff completed a job order listing in CalJOBS on behalf of the employer.  his service does not include CalJOBS Assistance (E03).",Employer
E24,Job Referrals,A JCC staff advertised or referred an employer's CalJOBS job order to participants.,Employer
E25,Job Shadowing,"A JCC staff coordinated a job shadowing experience for a qualified participant with an  employer. The employer would like to hire a participant, but would first like the  participant to do a job shadowing.",Employer
E26,Labor Market Information,"A JCC staff provided an employer with the nation, state, or local area’s market  information to assist in the employer's business plan expansion, relocation, or future  hiring and training needs; or, referred the employer to a labor market information  consultant who prepared detailed occupational labor market for the employer.",Employer
E27,"Local Planning, Zoning, Permits","A JCC staff provided an employer with Local Planning, Zoning, and Permits information.",Employer
E28,Marketing Package,"A JCC staff provided an employer marketing materials containing information regarding  EDD services.  Materials could include, but are not limited to, DE forms, brochures geared  towards the employer, Labor Market Information Fact Sheets, and flyers.",Employer
E29,New Employee Registry,A JCC staff provided an employer with the specific information pertaining to the California  New Employee Registry.,Employer
E30,On-the-Job Training,"A JCC staff established an on-the-job training contract with an employer. Under the  contract, the employer provided occupational training to a WIOA participant in exchange  for a specified percentage reimbursement of the participant's wage rate, and received  technical assistance from AJCC staff throughout the life of the training contract.",Employer
E31,Older Worker Hiring,"A JCC staff conducted outreach efforts to employers highlighting the potential of older  works and their contributions to a diverse workforce. The outreach efforts highlighted  traits that make older workers ideal candidates for employment, including their  reliability, commitment, enthusiasm, and a keen know-how that comes with a lifetime of  experience.",Employer
E32,Rapid Response (layoff or closure),"A JCC staff provided rapid response activities in the case of a permanent closure or mass  layoff at a plant, facility or enterprise, or a natural or other disaster that resulted in mass  job dislocation in order to assist dislocated workers in obtaining reemployment as soon  as possible. Rapid response activities include, but are not limited to, establishing on-site  contact with employers and employee representatives; providing information and access  to available employment and training activities; providing an on-site presentation to  employees on when to file for, how to file for, and who qualified for Unemployment  Insurance; assisting in establishing a labor-management committee; voluntarily agreed to  by labor and management, with the ability to devise and implement a strategy for  assessing the employment and training needs of Dislocated Workers, and obtaining  services to meet such needs; providing emergency assistance adapted to the particular  closure, layoff or disaster; and providing assistance to the local community in developing  a coordinated response and in obtaining access to state economic development  assistance.",Employer
E33,Recruitment at EDD,A n employer used an AJCC's facility and scheduling services to screen and interview job- seeking participants,Employer
E34,Reverse Referral Agreement,"A JCC staff established an agreement with an employer that it would provide a handout or  poster to encourage job seekers to enroll and enter a résumé in CalJOBS. The rationale  for this agreement is that when an employer has openings and lists them in the CalJOBS  those job-seekers’ résumés can be accessed by the employer. This agreement reduces  business interruptions to the employer when there are no openings, and expands the  job-seeker participant pool in CalJOBS.",Employer
E35,Résumé Referral,"A JCC staff conducted a résumé search to find job-seeking participants' résumés that  match an employer's job requirements, and provided those résumés to the employer.",Employer
E36,Career Pathway Programs,"A JCC staff informed employers about the Career Pathway programs, located in their local  and regional area. This may include inquiring about an employer's interest and/or ability  to assist with Career Pathway Programs, including job shadowing, work experience sites,  mentoring, speaking engagements, and employer focus groups.",Employer
E37,Targeted Recruitment,"A JCC staff coordinated a focused recruitment campaign for a new business venture, or a  facility needing a large number of specialized workers.",Employer
E38,Tax Credit Programs,"A   T JCC staff informed an employer about available hiring incentives and tax credits  including, but not limited to, the Work Opportunity Tax Credit (WOTC), Empowerment  Zone/Renewal Community Tax Incentives, the Disabled Access Credit, and the  Architectural and Transportation Tax Deduction.  his definition does not include the Veteran Hiring Incentive Program (E43).",Employer
E39,Trade Assistance Act,A JCC staff informed an employer of Trade Assistance Act (TAA) associated programs.,Employer
E40,Training for New Employees,"A JCC staff informed an employer of funding available through the Employment Training  Panel (ETP) for workforce training programs, and referred it to the ETP website or phone  number for additional information.",Employer
E41,Training for Current Employees,"A JCC staff informed an employer of funding available through the Employment Training  Panel (ETP) for workforce training programs, and referred it to the ETP website or phone  number for additional information.",Employer
E42,Unemployment Insurance,A JCC staff sponsored a seminar for employers regarding Unemployment Insurance.,Employer
E43,Veteran Hiring Incentive Program,"A JCC staff informed an employer about the Work Opportunity Tax Credit (WOTC) and  that ""Qualified Veterans"" is one of the WOTC target groups that may qualify the  employer for a tax credit.",Employer
E44,Welfare Recipient Hiring,A JCC or staff assisted an employer in hiring a welfare recipient.,Employer
E45,Work Experience Programs,"A JCC staff coordinated with an employer to provide a participant with a Work Experience  Opportunity, and technical assistance throughout the life of the contract. Work  Experience is a planned, structured learning experience that takes place in a workplace  for a limited time period. It may be paid or unpaid, as appropriate, and may be in the  private for-profit sector, the nonprofit sector, or the public sector.",Employer
E46,Workforce Innovation and Opportunity Act (WIOA),"A JCC staff informed an employer of available Workforce Innovation and Opportunity Act  employer services that include, but are not limited to, customized training, on-the-job- training reimbursement assistance, and training subsidies.",Employer
E47,Work Opportunity Tax Credit (WOTC),"A JCC staff processed an employer's application for Work Opportunity Tax Credit (WOTC)  certification. Application processing includes, but is not limited to, ensuring the  applicable forms (i.e., IRS 8850 [Pre-screening Notice and Certification Request], ETA  9061 [Individual Characteristics From], and ETA 9154 [Youth Self-Attestation Form]) are  accurately completed; conducting an employee background check to ensure the  employer received the highest tax credit they are eligible for; inform the employer that  the application must be post-marked no later than the 28th calendar day following the  new employee's start date; if necessary, sending a request to employer for more  information; and sending the employer a certification or denial letter.",Employer
E48,Youth Employment Opportunities,"A  Youth Employment Opportunity Program (YEOP) Specialist contacted an employer for  the purposes of informing the employer about YEOP, and encouraging the employer to  hire a Youth participant.",Employer
E51,CalJOBS Suppressed Job Listing Referral,"A JCC staff entered a suppressed job listing into CalJOBS, and assisted the employer in  filling the opening through either of the following service levels: résumé search service  (staff screen and select job-seeking participants and send the résumés of participants  who match the job requirements), or mediated staff services (staff screen and select  participants and provide them with the employer contact instructions).",Employer
E52,OFCCP Employer Outreach,"A JCC staff conducted outreach to a contractor or subcontractor that holds any federal or  federally assisted construction contract in excess of $10,000. Services may include  assistance with the Office of Federal Contract Compliance Programs (OFCCP)  requirements, such as affirmative action and equal employment opportunity.",Employer
E54,Lay-Off Aversion Activities,"A JCC staff provided lay-off aversion strategies and activities designed to prevent, or  minimize a participant's unemployment. These strategies include, but are not limited to,  the following:  1.  Ongoing engagement and partnership-building activities with local businesses  and community to avert lay-offs, and assist Dislocated Workers in obtaining  employment as soon as possible.  Provide employers assistance in reduction-in-force management.   2.  Fund feasibility studies to determine if the company's operations might be  3.  sustained through a buyout or other means.  4.  Develop and/or manage incumbent worker programs via connecting companies  to state Short-Time Compensation or other programs to prevent layoffs; quickly  re-employ Dislocated Workers; business loans for employee skill upgrading, along  with other available government and local resources.   Establish linkages at the federal, state, and local levels, including the Department  5.  of Commerce, state and local resources available for business retention and  expansion; partner or contract with business-focused organizations to assess  risks to companies and how those risks can be ameliorated; analyses of affected  company's suppliers to assess their risks and vulnerabilities.  Connect businesses and workers to short-term, on-the-job, or customized  6.  training programs, and/or apprenticeships before or after lay-offs to facilitate  rapid re-employment.  Locally-defined lay-off activities.  7.",Employer
E55,Candidate Pre-Screen (on behalf of employer),"A JCC staff provided an employer, employer association, or other such organization,  customized screening and referral of qualified participants; or in addition to Wagner- Peyser services, received customized employment-related services on a fee-for-service  basis; and/or was provided business services and strategies that met the workforce  investment needs of area employers, as determined by the Local Board, and consistent  with the local plan.",Employer
E56,Other Referral (referred to other agency for service),A JCC staff referred an employer/company to another public agency to obtain services not  available through WIOA/EDD/TAA programs.,Employer
E57,Follow-Up with Employer on New Hires,"A JCC staff contacted the employer to determine if a hired participant was successful, and  to provide as-needed additional assistance to the employer to ensure satisfaction with  the business services provided by AJCC staff.",Employer
E59,Follow-Up with Employer on Referred Candidate,"A JCC staff contacted an employer via phone, email, or in person to follow-up on a  candidate referred by staff to a CalJOBS job listing.",Employer
E60,Employer Networking,"A JCC staff provided an employer with information regarding AJCC services in an effort to  establish a relationship, or to maintain an existing relationship.",Employer
E61,HR Consultation Services,"A JCC staff provided the employer with Human Resource (HR) related services, such as  pre-employment testing, background checks and assistance in completing the I-9  paperwork, and providing employers with job and task analysis services, and absenteeism  analysis.",Employer
E62,Referral to Community Resource,A JCC staff provided a proactive linkage and referral to community resources that support  the employer's workforce needs.,Employer
E63,Veteran Employer Council (VEC),"A JCC staff provided an employer information regarding the Veteran Employer Council  (VEC), or provided AJCC services to an employer at a VEC event.",Employer
E64,Small Business Downsizing/Closure Assistance,A JCC staff provided services to a small business that is downsizing or expected to go out  of business. Assistance may include onsite visits to provide the employer with  information on the available AJCC services for affected employees and referrals to  appropriate community resources.,Employer
E65,Engaged In Strategic Planning/Economic Development,"A JCC staff engaged in workforce investment strategic planning or business growth and  economic development strategic planning. These activities include, but are not limited to,  participating in community-based strategic planning; sponsoring employer forums;  securing information on industry trends; providing information for the purpose of  corporate economic development planning; partnering in collaborative efforts to identify  workforce challenges; and developing ways to address those challenges.",Employer
E66,Accessed Untapped Labor Pools,"A JCC staff established pipeline activities in partnership with the public workforce system  to access untapped labor pools. These activities include, but are not limited to: outreach  to youth, veterans, individuals with disabilities, older workers, ex-offenders, and other  targeted demographic groups; industry awareness campaigns; joint partnerships with  high schools, community colleges, or other education programs to improve skill levels;  and programs to address limited English proficiency and vocational training.",Employer
E67,Customized Training,A JCC staff provided publicly funded customized training assistance to an employer.,Employer
E68,Incumbent Worker Training,A JCC staff provided publicly funded incumbent worker training assistance to an  employer.,Employer
E69,Follow-Up with Employer on Employer Services,A JCC staff contacted the employer to determine if employer services that were provided  by the AJCC were successful.,Employer
E70,Youth Outreach and Marketing Presentation,"S taff conducted presentations at entities (e.g., employers, community-based  organizations, schools, workforce partners) in the community serving youth on the  available EDD and partner youth services and resources as part of the YEOP expansion  effort.",Employer
E71,Youth Outreach and Marketing Contact,"S taff contacted entities (e.g., employers, community-based organizations, schools,  workforce partners) serving youth to schedule an appointment to provide information on  the available EDD and partner youth services and resources as part of the YEOP  expansion effort.",Employer
E72,DOLVETS Hire Medallion Program (HVMP),S taff provided information regarding the HVMP that recognizes employers who hire and  retain veterans throughout the year and have dedicated resources for their veteran  employees.,Employer
E73,Reasonable Accommodation,"P rovided Employer information on reasonable accommodations that may include, but  not limited to, physical change, accessible communication and assistive technologies,  modified work tasks, and policy enhancements.",Employer
E74,RETAIN – Employer,The Employer received services from a staff member on the Retaining Employment and  Talent After Injury/Illness Network (RETAIN).   This code should not be used by staff that are not associated with the Local Area(s) who  have received funding to carry out this pilot program.,Employer
E75,RETAIN – Provider,The Health Provider received services from a staff member on the Retaining Employment  and Talent After Injury/Illness Network (RETAIN).  This code should not be used by staff that are not associated with the Local Area(s) who  have received funding to carry out this pilot program.,Employer
E90,Referred Qualified Applicants,"Staff referred client to employer based on their review of the client’s resume, skills and  qualifications.   This code is system generated at time of client referral.",Employer
E92,Notification to Employer of Potential Applicant,Staff notified client of potential job.   This code is system generated at time of client notification.,Employer
